metric_fname_dl,metric_fname_jw,metric_fname_soundex,metric_lname_dl,metric_lname_jw,metric_lname_soundex,metric_gender_code_ff,metric_gender_code_mm,metric_gender_code_same,metric_race_code_same,metric_race_code_ww_bb,metric_year_diff_abs,metric_age,metric_ffreq_mean,metric_lfreq_mean,match
0,0,0,10,0.6714285714285715,1,1,1,FALSE,TRUE,TRUE,2,63,0.18763989023272037,-0.029253135115162476,unmatch
1,0.04166666666666674,0,0,0,0,2,0,TRUE,TRUE,TRUE,0,43,-0.1500288721713958,-0.7859864711347343,match
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,68,-0.6070030600889332,-0.32971033847360764,match
0,0,0,9,0.4329004329004329,1,2,0,TRUE,TRUE,TRUE,25,73,0.38653800852771547,-0.7125720031506788,unmatch
0,0,0,7,0.5833333333333334,1,0,2,TRUE,TRUE,TRUE,16,51,1.9973434361237112,-0.260736701540041,unmatch
0,0,0,9,0.6851851851851852,1,0,2,TRUE,TRUE,TRUE,34,87,-0.11474226082943026,-0.7598884826087631,unmatch
0,0,0,7,0.6166666666666667,1,2,0,TRUE,TRUE,TRUE,49,47,-0.34228033045810313,-0.20218005960924457,unmatch
1,0.09523809523809523,0,7,0.513888888888889,1,2,0,TRUE,TRUE,TRUE,1,35,-0.6655489932340578,1.2662149605009585,unmatch
0,0,0,10,0.5371212121212121,1,0,2,TRUE,TRUE,TRUE,9,42,0.05504114470272366,-0.7988161321260353,unmatch
3,0.14285714285714302,1,0,0,0,0,2,TRUE,TRUE,TRUE,0,46,-0.42076325245870505,-0.753254318841428,match
0,0,0,5,1,1,2,0,TRUE,TRUE,TRUE,4,34,0.04095854975046647,-0.6258350420151568,unmatch
0,0,0,6,0.5888888888888889,1,2,0,TRUE,TRUE,TRUE,5,29,-0.18752904273653323,0.2381415806401999,unmatch
0,0,0,5,0.5444444444444445,1,2,0,TRUE,TRUE,TRUE,6,72,0.650627722919661,1.1545823376269824,unmatch
5,0.4111111111111112,0,6,0.36111111111111116,1,2,0,TRUE,TRUE,TRUE,17,58,-0.6296303637096697,2.0328129521373404,unmatch
0,0,0,5,0.4222222222222223,1,2,0,TRUE,TRUE,TRUE,20,74,0.650627722919661,1.7665744099661955,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,68,-0.7394435518092088,-0.7990354653977199,match
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,55,-0.4821577541788101,-0.6291792067072226,match
0,0,0,7,0.638888888888889,1,0,2,TRUE,TRUE,TRUE,29,94,-0.33500165226739287,0.1105571361590405,unmatch
0,0,0,6,0.5099206349206349,1,2,0,TRUE,TRUE,TRUE,18,49,0.5552136373918214,-0.07130828685731472,unmatch
0,0,0,6,0.5523809523809524,1,2,0,TRUE,TRUE,TRUE,28,37,1.386882993905911,0.27657372719280754,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,64,-0.2169602631188167,-0.4144191345471717,match
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,39,-0.305095670455946,0.5967682541983699,match
3,0.19444444444444453,0,7,0.3583333333333334,1,0,2,TRUE,TRUE,TRUE,9,42,-0.3380074775956325,-0.4588301158565595,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,84,-0.7688747721914923,-0.7990354653977199,match
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,84,-0.5334250091332245,-0.7990354653977199,match
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,26,-0.4456061094155376,0.17963910432619995,match
3,0.14285714285714302,0,4,0.3571428571428572,1,0,2,TRUE,TRUE,TRUE,19,88,-0.5839009950390333,0.16472444185164553,unmatch
1,0.05555555555555558,0,6,0.46031746031746035,1,2,0,TRUE,TRUE,TRUE,15,76,-0.44022647694148087,-0.7413019909368656,unmatch
0,0,0,5,0.3571428571428572,1,2,0,TRUE,TRUE,TRUE,14,61,-0.32012778826653,-0.7926206349020695,unmatch
2,0.1777777777777778,0,4,0.3571428571428572,1,2,0,TRUE,FALSE,FALSE,0,73,-0.665707247043779,-0.7921819683587001,unmatch
0,0,0,7,0.5099206349206349,1,0,2,TRUE,TRUE,TRUE,2,84,-0.6511498906623583,-0.4074004698532638,unmatch
0,0,0,6,0.5523809523809524,1,2,0,TRUE,TRUE,TRUE,15,54,0.2836869909994445,0.49435029953964665,unmatch
4,0.44444444444444453,0,6,0.4380952380952381,1,0,2,TRUE,TRUE,TRUE,2,33,-0.2718673556968172,-0.5610829028603944,unmatch
0,0,0,8,0.5583333333333333,1,0,2,TRUE,TRUE,TRUE,8,60,0.7912964156889737,-0.7921819683587001,unmatch
0,0,0,6,0.5696969696969697,1,2,0,TRUE,TRUE,TRUE,0,37,-0.6954549750455048,-0.25481470320455624,match
0,0,0,4,0.2777777777777779,1,2,0,TRUE,TRUE,TRUE,0,27,-0.5111142131319303,-0.3476929959472478,match
0,0,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,6,55,0.5552136373918214,-0.015548811841621935,unmatch
0,0,0,7,1,1,2,0,TRUE,TRUE,TRUE,9,38,-0.3786737214116546,0.6259369085279257,unmatch
0,0,0,9,0.6555555555555557,1,0,2,TRUE,TRUE,TRUE,5,42,0.05504114470272366,-0.6448602002304236,unmatch
0,0,0,5,0.5,1,0,2,TRUE,TRUE,TRUE,11,73,0.3347959921441377,0.8541846414943315,unmatch
